Placeholder,Placeholder (no brackets),Field Name (pretty label),Phase,Section in Report Where Used,Source,Required,Description of Expected Content ,Fallback,Dependencies,Word count (min),Word count (max),Tone/Style,Instructions for GPT,Allowed source: user,Allowed source: GPT logic,Allowed source: API,Data Type,Retry on Reject,Normalise Case,Provenence required,Notes,Examples,Benchmark Targets,Auto populates (human info only),derivation_type,cascade_family
{{ epc_postcode }},epc_postcode,EPC Postcode,API,5,EPC,No,Postcode as recorded on the EPC certificate,Insert 'Data unavailable or inconclusive',None,1,5,UK post code format,"Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,No,Yes,String,No,All caps,Yes,For cross-validation with OS Places postcode,EC2R 8AH,N/A,Yes,auto,epc
{{ epc_primary_energy }},epc_primary_energy,EPC Primary Energy,API,5,EPC,No,"Primary energy consumption from EPC certificate (kWh/m²/year). Modelled regulated energy (heating, cooling, ventilation, lighting, DHW) under standardised conditions. Used by CRREM EUI estimation model as input to the two-component operational EUI calculation.",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,No,Yes,Number,No,N/A,Yes,Feeds estimateOperationalEUI() in pipe-crrem-logic. Raw EPC value — the reality factor adjustment happens downstream.,88,N/A,Yes,auto,epc
{{ epc_rating }},epc_rating,Latest EPC Rating,API,5,CALCULATED,Yes,"Current EPC rating (letter and number) in the form B (35). If expired, say so. If ultiple EPCs, list all","None, mandatory","epc_letter, epc_number",1,5,"Short, factual","Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,Yes,Yes,String,Yes,Leading caps,Yes,Concatenate {{ epc_letter }} {{ epc_number }},B (35),N/A,Yes,calculated,
{{ epc_standard_emissions }},epc_standard_emissions,Standard Emissions,API,5,EPC,No,Standard emissions benchmark (kgCO₂/m²/year) - typical emissions for this building type,Insert 'Data unavailable or inconclusive',None,1,20,"Short, factual","Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,No,Yes,String,No,N/A,Yes,Compare with epc_co2_emissions to assess performance,45.2 kgCO₂/m²/year,EUI < 55 kWh/m²/year,Yes,auto,epc
{{ epc_uprn }},epc_uprn,EPC UPRN,API,5,EPC,No,Unique Property Reference Number from EPC certificate (may differ from OS Places UPRN for multi-unit buildings),Insert 'Data unavailable or inconclusive',None,1,3,"Short, factual","Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,No,Yes,String,No,N/A,Yes,UPRN from EPC may differ from OS Places UPRN,1.00E+11,N/A,Yes,auto,epc
{{ epc_url }},epc_url,Source URL,API,5,EPC,Yes,Give the exact weblink for the EPC that you have used ,Insert 'Data unavailable or inconclusive',None,1,5,Weblink,"Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user. Fallback: https://find-energy-certificate.service.gov.uk/find-a-non-domestic-certificate/search-by-postcode",No,Yes,Yes,String,Yes,Lower case,Yes,Weblink only,http://abc.defgh.co.uk,N/A,Yes,auto,epc
{{ field_guide_version }},field_guide_version,Field Guide Version,Init,16,CALCULATED,Yes,Version of the Field Guide schema used for this session,None,None,1,10,N/A - system field,Set at session init from PIPE_field_guide module,No,No,Yes,String,No,N/A,Yes,Semantic versioning format,2.0.1,N/A,No,auto,
{{ fields_completed }},fields_completed,Fields Completed,Export,16,CALCULATED,Yes,Number of fields with stored values in this session,None,session_id,1,5,N/A - system field,Count of populated fields from pipe_fields,No,No,Yes,Number,No,N/A,No,Integer count,87,N/A,No,calculated,
{{ fields_total }},fields_total,Fields Total,Export,16,CALCULATED,Yes,Total number of fields in the Field Guide schema,None,field_guide_version,1,5,N/A - system field,Count of all fields from Field Guide,No,No,Yes,Number,No,N/A,No,Integer count,94,N/A,No,calculated,
{{ gia }},gia,Area (GIA sq ft),Base build,1,EPC,Yes,"Gross internal area of the building, in square feet.  If GIA not available, use NIA / 0.75.  ",Insert 'Data unavailable or inconclusive',_fallback:nia,1,3,Number,"Output the gross internal area of the building as a number in square feet. Primary source: EPC API data from above (auto-populated by middleware from EPC floor area field). If not present or if override needed, call /pull with include_api_responses=true. Secondary source: brochure if uploaded. Validate: GIA > NIA. If GIA is unavailable from any source, calculate as NIA / 0.75 and state your assumption. Do not speculate without basis.",No,Yes,Yes,Number,Yes,N/A,Yes,Gross internal area,"100,000 sq ft GIA",N/A,Yes,auto,epc
{{ heating_generation_type }},heating_generation_type,Heating Generation Type,Base build,3,GPT,Yes,"Primary heating plant serving the building. Used by CRREM energy model to select efficiency curves and fuel-switch interventions. Must be one of: gas_boiler, electric_boiler, heat_pump, district_heat, biomass, other, unknown.",Insert 'unknown',"Enum: gas_boiler,electric_boiler,heat_pump,district_heat,biomass,other,unknown",1,10,"Short, factual","Primary source: epc_main_heating_fuel (auto-populated from EPC API). Normalise to one of the enum values: gas_boiler, electric_boiler, heat_pump, district_heat, biomass, other, unknown. Cross-reference against AC inspection report data if available. If conflict between EPC and ACIR data, alert user. If LTHW/THHW distribution confirmed but generation type unknown, default to gas_boiler with source 'inferred'. If unsure, store 'unknown' and say so.",Yes,Yes,No,String,No,Lower case,Yes,"Feeds systems.heating.archetype in pipe-energy via pipe-crrem-logic. Fallback chain: heating_generation_type, epc_main_heating_fuel, text matching, TM46 default.",gas_boiler,"CIBSE Guide F, NCM Table 7",No,llm_assisted,
{{ heritage_commentary }},heritage_commentary,Heritage Commentary,API,5,GPT,No,"Synthesised commentary on listing status, conservation area designation, and retrofit/planning implications",Insert 'No heritage constraints identified',"listed_building_grade, conservation_area",50,150,"Descriptive, factual, expository","State listing status: if listed, give grade, name, NHLE ref, and designation year. Then conservation area: name, LPA. If not listed, confirm. Flag ambiguous tags. Analyse the planning and retrofit implications based on what you know about our proposed retrofit plans and the building’s retrofit potential so far. Assess which  pathway interventions may be constrained by listing grade. Include this analysis in your output.",No,Yes,No,String,Yes,Leading caps,Yes,"Grade II listed (NHLE ref: 1234567, designated 1972). Within the Finsbury Circus Conservation Area (City of London, designated 1981). Listed Building Consent required for all external and most internal alterations — this directly constrains the facade insulation and window replacement interventions identified in the CRREM pathway. The gas boiler replacement (identified as the primary heating system) is feasible but routing of new services must avoid damage to listed fabric. External wall insulation is effectively ruled out; internal wall insulation may be possible subject to LBC but reduces NIA. The conservation area designation adds further restriction on roofline changes, limiting rooftop PV and plant screening options. Heritage constraints will materiall increase retrofit cost and may narrow the achievable EPC improvement from the C-to-B trajectory modelled in CRREM.","Not listed; not within a designated conservation area. Nearest listed building is Holland House (Grade II, NHLE 1066742) sitting approximately 180m east — far enough that planning consent for retrofit works is unlikely to be constrained by setting considerations. The Waterloo Conservation Area boundary sits approximately 220m south, similarly non-constraining at this distance. No heritage planning premium applies to the proposed works. Roof-level PV installation should be specified with low-profile mounting to minimise visual impact given the neighbouring listed buildings' sightlines, but this is a good-practice consideration rather than a statutory requirement.",N/A,Yes,llm_derived,
{{ image_main_1 }},image_main_1,Image,Dropzone,Header,DROPZONE,Yes,"First image of the building, as uploaded by the user","None, mandatory",_user_upload,0,10,Image,"User upload in session, as per system instructions. Stored as base64 string in SQL",Yes,No,No,base64,Yes,N/A,No,"System-inserted image placeholder using InlineImage. Must be an image, in either JPEG or PNG format.  Must be in square format.",,N/A,No,user,
{{ image_main_2 }},image_main_2,Image,Dropzone,Header,DROPZONE,Yes,"Second image of the building, as uploaded by the user","None, mandatory",_user_upload,0,10,Image,"User upload in session, as per system instructions. Stored as base64 string in SQL",Yes,No,No,base64,Yes,N/A,No,"System-inserted image placeholder using InlineImage. Must be an image, in either JPEG or PNG format.  Must be in square format.",,N/A,No,user,
{{ image_map }},image_map,Map,Dropzone,Header,DROPZONE,Yes,"Map showing location of the building, as uploaded by the user","None, mandatory",_user_upload,0,10,Image,"User upload in session, as per system instructions. Stored as base64 string in SQL",Yes,No,No,base64,Yes,N/A,No,"System-inserted image placeholder using InlineImage. Must be an image, in either JPEG or PNG format.  Must be in square format.",,N/A,No,user,
{{ imd_analysis }},imd_analysis,IMD Analysis,Strategy,11,GPT,Yes,"Investment-relevant synthesis of IMD deprivation data across all domains, identifying area trajectory, hidden risks, and explicit investment implications","None, mandatory","lsoa_code, imd_barriers_decile, imd_crime_decile, imd_decile, imd_education_decile, imd_employment_decile, imd_health_decile, imd_idaci_decile, imd_idaopi_decile, imd_income_decile, imd_living_env_decile, imd_population_total, imd_rank, imd_score",75,200,"Analytical, direct, investment-focused","Using the raw IMD data in context above, synthesise into an investment-relevant narrative. Structure as: (1) DEPRIVATION PROFILE - state overall decile and national rank context (e.g., 'Decile 7 places this LSOA in the least deprived 40% nationally'); (2) DOMAIN TENSIONS - identify any decile spreads >3 between domains as these signal gentrification pressure, hidden risk, or market dislocation (e.g., high income decile but low living environment suggests underinvestment in housing stock); (3) RESILIENCE INDICATORS - employment, education, and health deciles are leading indicators of area trajectory - state whether these suggest improving, stable, or declining fundamentals; (4) INVESTMENT IMPLICATIONS - state clearly whether IMD profile supports or challenges the investment thesis, citing specific domain evidence. Be direct. No hedging. If the data is unfavourable for investment, say so explicitly. Cross-reference with IDACI/IDAOPI to flag demographic-specific risks.",No,Yes,No,String,No,Initial caps,No,Domain tensions are key - uniform deciles across domains suggest stable areas; high variance suggests areas in transition (opportunity or risk). Employment + Education trending high = gentrification tailwind. Crime decile <4 with Income decile >6 = investor caution.,"This LSOA sits in Decile 6 (rank 15,420 of 32,844), placing it in the least deprived 40% nationally. However, significant domain tension exists: Income (Decile 7) and Employment (Decile 8) contrast sharply with Living Environment (Decile 3) and Barriers to Housing (Decile 4). This 4-5 point spread signals an area where economic fundamentals outpace physical infrastructure—a classic gentrification signature. Resilience indicators are strong: Education (Decile 7) and Health (Decile 6) suggest stable, upwardly-mobile demographics. IDACI (Decile 8) confirms low child poverty, reinforcing family-friendly positioning. Investment implication: IMD profile supports the thesis. The infrastructure lag (living environment, housing barriers) represents exactly the value-add opportunity a retrofit strategy can capture. Crime Decile 7 removes security discount concerns. Proceed with confidence.",N/A,No,llm_derived,
{{ imd_barriers_decile }},imd_barriers_decile,Housing Barriers Decile,API,11,IMD,No,Barriers to Housing and Services domain decile - measures physical and financial accessibility of housing and local services,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,Includes geographical barriers and wider barriers sub-domains.,1,N/A,Yes,auto,imd
{{ imd_crime_decile }},imd_crime_decile,Crime Decile,API,11,IMD,No,Crime domain decile - measures risk of personal and material victimisation at local level,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,Based on recorded crime rates for violence/burglary/theft/damage.,1,N/A,Yes,auto,imd
{{ imd_decile }},imd_decile,IMD Decile,API,11,IMD,Yes,Overall deprivation decile (1-10). Decile 1 = most deprived 10% of areas,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,Key summary metric. 1 = most deprived 10%. 10 = least deprived 10%.,4,N/A,Yes,auto,imd
{{ imd_education_decile }},imd_education_decile,Education Decile,API,11,IMD,No,Education Skills and Training domain decile - measures lack of attainment and skills in local population,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,Covers children/young people and adult skills sub-domains.,4,N/A,Yes,auto,imd
{{ imd_employment_decile }},imd_employment_decile,Employment Decile,API,11,IMD,No,Employment deprivation domain decile - measures proportion of working-age population involuntarily excluded from labour market,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,Includes unemployment and incapacity benefits claimants.,5,N/A,Yes,auto,imd
{{ imd_health_decile }},imd_health_decile,Health Decile,API,11,IMD,No,Health Deprivation and Disability domain decile - measures risk of premature death and impairment of quality of life through poor health,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,Based on mortality rates and health conditions.,7,N/A,Yes,auto,imd
{{ imd_idaci_decile }},imd_idaci_decile,Child Poverty Decile,API,11,IMD,No,Income Deprivation Affecting Children Index (IDACI) decile - proportion of children aged 0-15 living in income deprived families,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,Supplementary index focusing specifically on child poverty.,2,N/A,Yes,auto,imd
{{ imd_idaopi_decile }},imd_idaopi_decile,Older People Poverty Decile,API,11,IMD,No,Income Deprivation Affecting Older People Index (IDAOPI) decile - proportion of adults aged 60+ in income deprived households,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,Supplementary index focusing specifically on older people poverty.,5,N/A,Yes,auto,imd
{{ imd_income_decile }},imd_income_decile,Income Decile,API,11,IMD,No,Income deprivation domain decile - measures proportion of population experiencing deprivation relating to low income,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,Based on adults/children in income-deprived families.,3,N/A,Yes,auto,imd
{{ imd_living_env_decile }},imd_living_env_decile,Living Environment Decile,API,11,IMD,No,Living Environment domain decile - measures quality of indoor and outdoor local environment,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,Indoors = housing quality. Outdoors = air quality and road accidents.,3,N/A,Yes,auto,imd
{{ imd_population_total }},imd_population_total,LSOA Population,API,11,IMD,No,Total population of the LSOA (mid-2022 estimate),Insert 'Data unavailable or inconclusive',lsoa_code,1,5,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,LSOAs typically have 1000-3000 residents.,1837,N/A,Yes,auto,imd
{{ imd_rank }},imd_rank,IMD Rank,API,11,IMD,No,National rank out of 33755 LSOAs (1 = most deprived),Insert 'Data unavailable or inconclusive',lsoa_code,1,2,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,1 = most deprived LSOA in England. 33755 = least deprived.,10917,N/A,Yes,auto,imd
{{ imd_score }},imd_score,IMD Score,API,11,IMD,No,Index of Multiple Deprivation overall score - weighted combination of 7 domain scores,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,Number,Get from IMD 2025 API call via /imd,No,No,Yes,Number,No,N/A,Yes,Higher score = more deprived. Range typically 0-100.,25.307,N/A,Yes,auto,imd
{{ latitude }},latitude,Latitude,Init,1,OS_PLACES,No,Latitude coordinate of the property (WGS84),Insert 'Data unavailable or inconclusive',uprn,1,3,"Short, factual",Get from OS Places API via /address,No,No,Yes,Coordinate,No,N/A,No,Used for mapping and location services,51.5133378,N/A,Yes,auto,address
{{ listed_building_grade }},listed_building_grade,Listed Building Grade,Base build,1,PLANNING,No,"Grade of listed building designation from Historic England NHLE. Values: Grade I (exceptional interest ~2%), Grade II* (particularly important ~6%), Grade II (special interest ~92%), or null if not listed.",Insert 'Data unavailable or inconclusive',None,0,5,"Short, factual",Auto-populated from Historic England NHLE API via /planning. Do not manually populate.,No,No,Yes,"ENUM: I, II, II*, Not listed",No,All caps,Yes,Only populated if property is within 50m of a listed building,II*,N/A,Yes,auto,planning
{{ listed_building_name }},listed_building_name,Listed Building Name,Base build,1,PLANNING,No,"Official name of the listed building from Historic England's National Heritage List for England (NHLE). May include historical building name, address, or descriptive title.",Insert 'Data unavailable or inconclusive',None,0,5,"Short, factual",Auto-populated from Historic England NHLE API via /planning. Do not manually populate.,No,No,Yes,String,No,Leading caps,Yes,Only populated if property is within 50m of a listed building,"20 Whitbourne Springs, Corsley",N/A,Yes,auto,planning
{{ long_bldg_descr }},long_bldg_descr,Long-Form Building Description,Base build,2,GPT,Yes,"Summary of building form, number of floors, typical floorplate size, layout, fabric, entrances, façade type, etc.","None, mandatory",None,75,200,"Descriptive, factual, expository","Synthesise from uploaded brochure, other uploaded files, and images (primary). Supplement with stored data via /pull. Always cross-reference findings by performing a MANDATORY internet search using <address> + 'building' + 'architect' + 'design'. Describe: building form, number of floors, typical floorplate size (sq ft), layout, structural frame, fabric (cladding type, glazing ratio), entrances, façade type, any distinctive architectural features. Include construction date and use class if known.",No,Yes,No,String,Yes,Initial caps,No,"Include dates, use class, listing context","240 Blackfriars is a 19-storey Class A office building completed in 2014 to designs by Allford Hall Monaghan Morris (AHMM) for developer Canary Wharf Group, subsequently let in full to WPP Group plc as their London HQ on a 30-year full-repairing-and-insuring lease. Steel frame with concrete service cores; full-height unitised curtain-wall glazing with deep reveals on south and east elevations for solar shading; north-south axis maximises Thames river views from upper floors. 29,023 sqm GIA distributed across 19 office floors plus basement plant-room. Notable features include river-facing balconies on the upper six levels, rooftop fan-coil plant, a shared-bicycle storage and end-of-trip facility at lower-ground, and a double-height reception. The building is a prominent element of the South Bank regeneration cluster, sitting directly opposite Temple station across Blackfriars Bridge.","LETI, BBP",No,llm_derived,
{{ long_bldg_system_summary }},long_bldg_system_summary,Long-Form Building Systems Summary,Base build,3,GPT,Yes,"Summary information about HVAC type, cooling and heating, systems, LTHW, ventilation, lifts, controls","None, mandatory",None,100,250,Engineering tone,"Using the EPC API data and AC inspection report data above, summarise the building's mechanical and electrical systems. Cover: HVAC type and configuration, cooling system (chiller/VRF/DX/split), heating system (boiler/ASHP/district), distribution (FCU/AHU/VAV), ventilation strategy (mechanical/natural/mixed), lighting type, lifts (number and type), BMS/controls, plant location (roof/basement/riser). Include number, type, and approximate age of key components where available from EPC or ACIR data. USE ONLY FACTS FROM THE EPC API CALL, ACIR DATA, AND /pull — if unsure, you MUST say so. Do not overlap with epc_commentary.",No,Yes,No,String,Yes,Initial caps,No,Mention plant location (roof/basement),"Centralised 4-pipe HVAC system with gas-fired condensing boilers and water-cooled chillers. Heating: 2 × MHG ProCon 550 kW condensing boilers serving radiators and perimeter fan-coil heating coils plus DHW calorifiers. Cooling: 4 × McQuay WCS-870 water-cooled chillers (870 kW each, total 3.48 MW nominal), R134a refrigerant, with evaporative roof-mounted condensers and rejecting heat via the roof plant room. Ventilation: perimeter fan-coil units on all office floors, plus VAV serving core spaces and meeting rooms. Controls: Trend IQ4E BMS. Lighting: T5 fluorescent throughout, with partial LED retrofit completed on levels 7-9 during 2022. No heat recovery provided on the main air-handling units — a strong retrofit opportunity identified in the AC inspection report. Primary end-use breakdown derived from the 2024 utility-bill analysis: space conditioning 48%, small power 22%, lighting 18%, other 12%.","CIBSE TM54, NABERS",No,llm_derived,
{{ longitude }},longitude,Longitude,Init,1,OS_PLACES,No,Longitude coordinate of the property (WGS84),Insert 'Data unavailable or inconclusive',uprn,1,3,"Short, factual",Get from OS Places API via /address,No,No,Yes,Coordinate,No,N/A,No,Used for mapping and location services,-0.0910789,N/A,Yes,auto,address
{{ lsoa_code }},lsoa_code,LSOA Code,Init,1,API ?,Yes,Lower Layer Super Output Area code for ONS statistical geography and IMD lookup,Insert 'Data unavailable or inconclusive',post_code,1,3,NUmber,Get from LSOA (ONS statistical geography) API via /address,No,No,Yes,String,No,All caps,Yes,Must be 9 characters: E followed by 8 digits. Used for IMD deprivation lookup.,E01032739,N/A,No,auto,
{{ lsoa_name }},lsoa_name,LSOA Name,Init,1,API ?,Yes,Lower Layer Super Output Area name - human readable area identifier,lsoa_code,post_code,1,5,"Short, factual",Get from LSOA (ONS statistical geography) API via /address,No,No,Yes,String,No,Yes,Yes,Free text name assigned by ONS. Typically format: Area Name + 3-digit code + letter.,City of London 001F,N/A,No,auto,
{{ nhle_link }},nhle_link,NHLE Link,Base build,1,PLANNING,No,URL to the Historic England National Heritage List entry for the nearest listed building. Provides full listing details including description and legal documentation.,Insert 'Data unavailable or inconclusive',listed_building_grade,0,5,"Short, factual",Auto-populated from Historic England NHLE API via /planning. Do not manually populate.,No,No,Yes,String,No,N/A,Yes,Only populated if listed_building_grade is populated,https://historicengland.org.uk/listing/the-list/list-entry/1021466,N/A,Yes,auto,planning
{{ nia }},nia,Area (NIA sq ft),Base build,1,EPC,Yes,"Net internal area of the building, in square feet.  ",Insert 'Data unavailable or inconclusive',_fallback:gia,1,5,Number,"Output the net internal area of the building as a number in square feet. Primary source: brochure if uploaded — parse deeply and look for NIA or Net Internal Area for the whole building (not individual tenant floors). Secondary source: EPC API data from above. If EPC data is not present, call /pull with include_api_responses=true. Check carefully whether the figure cited is NIA or GIA. Validate: NIA < GIA. If no figure is available from any source, say so; DO NOT speculate.",No,Yes,Yes,Number,Yes,N/A,Yes,Net internal area.,"75,000 sq ft NIA",N/A,No,auto,epc
{{ occupier_mix }},occupier_mix,Occupier Mix & Leasing,Base build,10,GPT,Yes,"For each major tenant, if available,state which floor they are on, how much rent they pay in £ per sq ft, and how many sq ft they occupy.  Include other lease terms like expiry date, and breaks.",Insert 'Data unavailable or inconclusive',None,50,200,"Clear, factual, expository","Synthesise from uploaded brochure and rent roll if present. Always cross-reference by performing a MANDATORY internet search using <address> + 'tenants' + 'occupiers' + 'letting' + 'lease'. Describe: major tenants by floor, approximate sq ft occupied, rent (£/sq ft) if available, lease expiry/breaks if known. If no tenant data is available from any source, state this clearly. Do NOT fabricate tenant names or lease terms.",No,Yes,Yes,String,Yes,Initial caps,Yes,"If available, list the top 5 specific occupier company names, sq ft occupied, floor occupied, and rent paid.","Single-tenant HQ occupation: WPP Group plc (with subsidiaries including Ogilvy, Mindshare, and Wunderman Thompson operating from the building) on a 30-year full-repairing-and-insuring lease commencing 2017, with a tenant break option at year 15 (November 2032). Rent-review pattern is five-yearly to open market. There is no planned or recorded subletting activity. This single-tenant structure means retrofit delivery is highly dependent on WPP's cooperation and scheduling — disruptive works on occupied floors are difficult without material tenant concession. The most realistic delivery window is either the 2032 break-option period (if WPP chooses to exercise or renegotiate) or a negotiated major-works exercise undertaken in parallel with a rent-review period.",N/A,No,llm_derived,
{{ ownership_charges_summary }},ownership_charges_summary,Company Charges Summary,API,8,COMPANIES_HOUSE,No,"Summary of charges (security interests) registered against the company at Companies House. Shows lender names, charge types, and outstanding/satisfied status. For CRE acquisitions, this reveals existing lenders with security over the property — critical for understanding capital structure and any consent requirements for sale.",Insert 'Data unavailable or inconclusive',ownership_company_name,1,100,"Short, factual","Auto-populated from Companies House API via /hmlr (auto-fires when corporate owner detected). For overseas entities, note that security may be registered in the originating jurisdiction rather than at Companies House.",No,No,Yes,String,No,Initial caps,Yes,"Charges data is the lender intelligence layer. 'No UK charges registered' for overseas entities does not mean no lender, security may be held in originating jurisdiction (e.g., France for French SCIs).",No UK charges registered. For overseas entities security may be registered in the originating jurisdiction.,N/A,Yes,rules,companies_house
{{ ownership_commentary }},ownership_commentary,Enhanced Ownership Insights,API,8,GPT,No,"Synthesised corporate ownership intelligence combining Companies House data with HMLR ownership context. Cover: entity type and jurisdiction, management structure (officers), filing health, charges/lender exposure, PSC/beneficial ownership, and related entities (sister SPVs at same address). Frame for CRE investment due diligence.",Insert 'Data unavailable or inconclusive',"ownership_company_name, ownership_company_status, ownership_charges_summary, ownership_officers_summary, ownership_registered_address, ownership_filing_health, ownership_date_of_creation",75,200,"Descriptive, factual, expository","Synthesise corporate ownership intelligence from Companies House data returned inline with /hmlr response. Structure as: (1) entity identification — type, jurisdiction, creation date; (2) management — who runs it, officer names and roles; (3) financial health — filing compliance, charges/lender exposure; (4) control — PSC/beneficial ownership chain, flag undisclosed UBO; (5) related entities — sister SPVs at same registered address suggesting portfolio strategy. Be direct about red flags (overdue filings, dissolved status, complex offshore chains). If entity is overseas, note jurisdiction-specific implications. If no Companies House data was returned (private individual owner), state this and do not fabricate.",No,Yes,No,String,Yes,Initial caps,No,"Companies House data is only available for corporate owners. Private individual owners are excluded from HMLR CCOD/OCOD data. If no CH data returned, ownership section relies on HMLR data alone.","Current registered proprietor: Wolfe Limited, a private limited company registered in England and Wales under company number 09342221 since 2014. Previously owned by Canary Wharf Investment Holdings Ltd (a CWG subsidiary); title was transferred to Wolfe Limited in 2017 as part of the broader Canary Wharf Group South Bank portfolio reshuffle following the Brookfield acquisition of CWG. Title number NGL908432 held on a freehold basis with no notices of caution or third-party charges. Price paid: £485 million (November 2017) per the HMLR Price Paid Data register. No recent transaction activity or marketing signals on the property.",N/A,No,llm_derived,
{{ ownership_company_name }},ownership_company_name,Company Name,API,8,COMPANIES_HOUSE,No,"Registered company name from Companies House. May differ slightly from HMLR proprietor name (e.g., 'SCI SYREF 18' in CH vs 'SCI SYREF 18 LIMITED' in HMLR). Match confidence is logged — 'unconfirmed match' flag indicates fuzzy match requiring manual verification.",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Auto-populated from Companies House API via /hmlr (auto-fires when corporate owner detected). If match_confidence is 'low', alert user that company name match is unconfirmed.",No,No,Yes,String,No,Leading caps,Yes,"Company name normalisation strips suffixes (LTD, LIMITED, PLC, etc.) for matching. A low-confidence match means no exact normalised name match was found — the best active result was used.",SCI SYREF 18,N/A,Yes,auto,companies_house
{{ ownership_company_status }},ownership_company_status,Company Status,API,8,COMPANIES_HOUSE,No,"Current company status at Companies House. Values: active, registered, dissolved, liquidation, administration, voluntary-arrangement, converted-closed, insolvency-proceedings. 'Active' or 'registered' is normal. Any other status is a due diligence red flag requiring investigation.",Insert 'Data unavailable or inconclusive',ownership_company_name,1,10,"Short, factual",Auto-populated from Companies House API via /hmlr. Dissolved or liquidation status is a significant due diligence finding — flag prominently.,No,No,Yes,"ENUM: active, registered, dissolved, liquidation, administration",No,All lowercase,Yes,'Registered' is used for overseas entities (ROEs). 'Active' is used for UK entities. Both are normal operational statuses. Any status other than active/registered warrants investigation.,registered,active or registered,Yes,auto,companies_house
{{ ownership_date }},ownership_date,Since (date),API,8,HMLR,Yes,Date of the last sale of the property,Insert 'Data unavailable or inconclusive',None,1,5,Date,"Auto-populated from HMLR CCOD/OCOD API via /hmlr. Field: Date Proprietor Added. If missing or blank after /hmlr phase, cross-reference with brochure if uploaded, then MANDATORY internet search using <address> + 'acquired' + 'sold' + 'transaction'. Follow PIPE.PROCESS.TITLE in pipe_companion_file.pdf in your knowledge files.",No,Yes,Yes,Date,Yes,N/A,Yes,,43831,N/A,Yes,auto,hmlr
{{ ownership_date_of_creation }},ownership_date_of_creation,Company Creation Date,API,8,COMPANIES_HOUSE,No,"Date the company was incorporated or registered at Companies House. For SPVs, a recent creation date (within 1-2 years of acquisition) typically indicates a purpose-built acquisition vehicle. Older entities may signal a longer-term holder or restructured ownership.",Insert 'Data unavailable or inconclusive',ownership_company_name,1,15,Date,Auto-populated from Companies House API via /hmlr. Compare creation date against ownership_date to understand whether SPV was purpose-built for the acquisition.,No,No,Yes,Date,No,N/A,Yes,"SPV creation 1-6 months before acquisition = purpose-built vehicle (normal for institutional CRE). SPV creation years before acquisition = existing entity, possibly part of a wider portfolio.",45006,N/A,Yes,auto,companies_house
{{ ownership_filing_health }},ownership_filing_health,Company Filing Health,API,8,COMPANIES_HOUSE,No,"Filing compliance status — whether confirmation statement and accounts are up to date or overdue. Overdue filings are a governance red flag signalling potential distress, abandonment, or administrative neglect. For overseas entities, only the confirmation statement applies (no UK accounts requirement).",Insert 'Data unavailable or inconclusive',ownership_company_name,5,30,"Descriptive, factual, expository","Auto-populated from Companies House API via /hmlr. Flag any overdue filings prominently, these are material due diligence findings.",No,No,Yes,String,No,Initial caps,Yes,Confirmation statements are due annually. Accounts due 9-12 months after year end. Overdue status triggers Companies House enforcement action and potential strike-off proceedings.,Compliant — confirmation statement not overdue (next due 2026-04-03),Compliant,Yes,rules,companies_house
